         21065184 function calls (20204408 primitive calls) in 1464.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6323 1328.995    0.210 1328.995    0.210 {method 'acquire' of '_thread.lock' objects}
    42513    0.033    0.000    1.425    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/artist.py:117(<lambda>)
     2140    0.033    0.000    0.049    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/cycler.py:364(by_key)
      320    0.032    0.000    0.148    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/ticker.py:2053(_raw_ticks)
    15359    0.032    0.000    0.065    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:1272(__setattr__)
   249899    0.032    0.000    0.032    0.000 {method 'append' of 'list' objects}
     1004    0.030    0.000    0.033    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   318230    0.030    0.000    0.030    0.000 {method 'items' of 'collections.OrderedDict' objects}
      350    0.029    0.000    8.783    0.025 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/axes/_base.py:1183(cla)
    76062    0.029    0.000    0.036    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:1735(<lambda>)
   109289    0.029    0.000    0.030    0.000 {built-in method builtins.setattr}
     1091    0.029    0.000    0.119    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/numpy/core/_methods.py:162(_mean)
    24712    0.028    0.000    0.057    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/font_manager.py:807(set_style)
    20806    0.028    0.000    0.053    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/markers.py:266(_set_fillstyle)
     2148    0.028    0.000    0.140    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/pandas/core/internals/managers.py:939(fast_xs)
       25    0.028    0.001    0.028    0.001 {method 'copy' of 'ImagingCore' objects}
    18312    0.027    0.000    1.141    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:822(from_extents)
    77264    0.027    0.000    0.027    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
    24147    0.027    0.000    0.082    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/lines.py:630(set_data)
    42634    0.026    0.000    0.313    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:1348(__add__)
       15    0.026    0.002    0.027    0.002 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/numpy/linalg/linalg.py:476(inv)
    55767    0.026    0.000    0.072    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/autograd/grad_mode.py:135(__exit__)
     4366    0.026    0.000    0.039    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/numpy/core/numerictypes.py:575(_can_coerce_all)
